"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","TCP","74","44706  >  5000 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=2440062329 TSecr=0 WS=128"
"2","0.000021208","127.0.0.1","127.0.0.1","TCP","74","5000  >  44706 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=2440062329 TSecr=2440062329 WS=128"
"3","0.000035833","127.0.0.1","127.0.0.1","TCP","66","44706  >  5000 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2440062329 TSecr=2440062329"
"4","0.000141999","127.0.0.1","127.0.0.1","TCP","106","44706  >  5000 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=40 TSval=2440062330 TSecr=2440062329"
"5","0.000144874","127.0.0.1","127.0.0.1","TCP","66","5000  >  44706 [ACK] Seq=1 Ack=41 Win=65536 Len=0 TSval=2440062330 TSecr=2440062330"
"6","1.000507473","127.0.0.1","127.0.0.1","TCP","106","44706  >  5000 [PSH, ACK] Seq=41 Ack=1 Win=65536 Len=40 TSval=2440063330 TSecr=2440062330"
"7","1.000600390","127.0.0.1","127.0.0.1","TCP","66","5000  >  44706 [ACK] Seq=1 Ack=81 Win=65536 Len=0 TSval=2440063330 TSecr=2440063330"
"8","2.000970948","127.0.0.1","127.0.0.1","TCP","106","44706  >  5000 [PSH, ACK] Seq=81 Ack=1 Win=65536 Len=40 TSval=2440064330 TSecr=2440063330"
"9","2.001066198","127.0.0.1","127.0.0.1","TCP","66","5000  >  44706 [ACK] Seq=1 Ack=121 Win=65536 Len=0 TSval=2440064330 TSecr=2440064330"
"10","3.001383966","127.0.0.1","127.0.0.1","TCP","106","44706  >  5000 [PSH, ACK] Seq=121 Ack=1 Win=65536 Len=40 TSval=2440065331 TSecr=2440064330"
"11","3.001458466","127.0.0.1","127.0.0.1","TCP","66","5000  >  44706 [ACK] Seq=1 Ack=161 Win=65536 Len=0 TSval=2440065331 TSecr=2440065331"
"12","4.006157193","127.0.0.1","127.0.0.1","TCP","106","44706  >  5000 [PSH, ACK] Seq=161 Ack=1 Win=65536 Len=40 TSval=2440066336 TSecr=2440065331"
"13","4.006256359","127.0.0.1","127.0.0.1","TCP","66","5000  >  44706 [ACK] Seq=1 Ack=201 Win=65536 Len=0 TSval=2440066336 TSecr=2440066336"
"14","5.008148504","127.0.0.1","127.0.0.1","TCP","106","44706  >  5000 [PSH, ACK] Seq=201 Ack=1 Win=65536 Len=40 TSval=2440067338 TSecr=2440066336"
"15","5.008179046","127.0.0.1","127.0.0.1","TCP","66","5000  >  44706 [ACK] Seq=1 Ack=241 Win=65536 Len=0 TSval=2440067338 TSecr=2440067338"
"16","6.011042359","127.0.0.1","127.0.0.1","TCP","106","44706  >  5000 [PSH, ACK] Seq=241 Ack=1 Win=65536 Len=40 TSval=2440068340 TSecr=2440067338"
"17","6.011092567","127.0.0.1","127.0.0.1","TCP","66","5000  >  44706 [ACK] Seq=1 Ack=281 Win=65536 Len=0 TSval=2440068340 TSecr=2440068340"
"18","7.015758214","127.0.0.1","127.0.0.1","TCP","106","44706  >  5000 [PSH, ACK] Seq=281 Ack=1 Win=65536 Len=40 TSval=2440069345 TSecr=2440068340"
"19","7.015818923","127.0.0.1","127.0.0.1","TCP","66","5000  >  44706 [ACK] Seq=1 Ack=321 Win=65536 Len=0 TSval=2440069345 TSecr=2440069345"
"20","8.018409155","127.0.0.1","127.0.0.1","TCP","106","44706  >  5000 [PSH, ACK] Seq=321 Ack=1 Win=65536 Len=40 TSval=2440070348 TSecr=2440069345"
"21","8.018496655","127.0.0.1","127.0.0.1","TCP","66","5000  >  44706 [ACK] Seq=1 Ack=361 Win=65536 Len=0 TSval=2440070348 TSecr=2440070348"
"22","9.023433346","127.0.0.1","127.0.0.1","TCP","106","44706  >  5000 [PSH, ACK] Seq=361 Ack=1 Win=65536 Len=40 TSval=2440071353 TSecr=2440070348"
"23","9.023519013","127.0.0.1","127.0.0.1","TCP","66","5000  >  44706 [ACK] Seq=1 Ack=401 Win=65536 Len=0 TSval=2440071353 TSecr=2440071353"
"24","10.026560539","127.0.0.1","127.0.0.1","TCP","106","44706  >  5000 [PSH, ACK] Seq=401 Ack=1 Win=65536 Len=40 TSval=2440072356 TSecr=2440071353"
"25","10.026661789","127.0.0.1","127.0.0.1","TCP","66","5000  >  44706 [ACK] Seq=1 Ack=441 Win=65536 Len=0 TSval=2440072356 TSecr=2440072356"
"26","11.027719734","127.0.0.1","127.0.0.1","TCP","106","44706  >  5000 [PSH, ACK] Seq=441 Ack=1 Win=65536 Len=40 TSval=2440073357 TSecr=2440072356"
"27","11.027810067","127.0.0.1","127.0.0.1","TCP","66","5000  >  44706 [ACK] Seq=1 Ack=481 Win=65536 Len=0 TSval=2440073357 TSecr=2440073357"
"28","12.030798722","127.0.0.1","127.0.0.1","TCP","106","44706  >  5000 [PSH, ACK] Seq=481 Ack=1 Win=65536 Len=40 TSval=2440074360 TSecr=2440073357"
"29","12.030884555","127.0.0.1","127.0.0.1","TCP","66","5000  >  44706 [ACK] Seq=1 Ack=521 Win=65536 Len=0 TSval=2440074360 TSecr=2440074360"
"30","13.032726835","127.0.0.1","127.0.0.1","TCP","106","44706  >  5000 [PSH, ACK] Seq=521 Ack=1 Win=65536 Len=40 TSval=2440075362 TSecr=2440074360"
"31","13.032804377","127.0.0.1","127.0.0.1","TCP","66","5000  >  44706 [ACK] Seq=1 Ack=561 Win=65536 Len=0 TSval=2440075362 TSecr=2440075362"
"32","14.033177284","127.0.0.1","127.0.0.1","TCP","106","44706  >  5000 [PSH, ACK] Seq=561 Ack=1 Win=65536 Len=40 TSval=2440076363 TSecr=2440075362"
"33","14.033264034","127.0.0.1","127.0.0.1","TCP","66","5000  >  44706 [ACK] Seq=1 Ack=601 Win=65536 Len=0 TSval=2440076363 TSecr=2440076363"
