"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.64.3","192.168.64.2","TCP","76","49908  >  5000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3857190712 TSecr=0 WS=128"
"2","0.000135709","192.168.64.2","192.168.64.3","TCP","76","5000  >  49908 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2015008452 TSecr=3857190712 WS=128"
"3","0.000682837","192.168.64.3","192.168.64.2","TCP","68","49908  >  5000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3857190713 TSecr=2015008452"
"4","0.001814551","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=40 TSval=3857190714 TSecr=2015008452"
"5","0.001824009","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=41 Win=65152 Len=0 TSval=2015008453 TSecr=3857190714"
"6","1.004735504","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=41 Ack=1 Win=64256 Len=40 TSval=3857191717 TSecr=2015008453"
"7","1.004969839","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=81 Win=65152 Len=0 TSval=2015009457 TSecr=3857191717"
"8","2.010235723","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=81 Ack=1 Win=64256 Len=40 TSval=3857192722 TSecr=2015009457"
"9","2.010371265","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=121 Win=65152 Len=0 TSval=2015010462 TSecr=3857192722"
"10","3.010659419","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=121 Ack=1 Win=64256 Len=40 TSval=3857193722 TSecr=2015010462"
"11","3.010772628","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=161 Win=65152 Len=0 TSval=2015011462 TSecr=3857193722"
"12","4.014722136","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=161 Ack=1 Win=64256 Len=40 TSval=3857194726 TSecr=2015011462"
"13","4.014844637","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=201 Win=65152 Len=0 TSval=2015012466 TSecr=3857194726"
"14","5.017264390","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=201 Ack=1 Win=64256 Len=40 TSval=3857195729 TSecr=2015012466"
"15","5.017327974","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=241 Win=65152 Len=0 TSval=2015013469 TSecr=3857195729"
"16","6.025110507","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=241 Ack=1 Win=64256 Len=40 TSval=3857196737 TSecr=2015013469"
"17","6.025201091","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=281 Win=65152 Len=0 TSval=2015014477 TSecr=3857196737"
"18","7.027259056","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=281 Ack=1 Win=64256 Len=40 TSval=3857197739 TSecr=2015014477"
"19","7.027379973","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=321 Win=65152 Len=0 TSval=2015015479 TSecr=3857197739"
"20","8.028331977","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=321 Ack=1 Win=64256 Len=40 TSval=3857198740 TSecr=2015015479"
"21","8.028386061","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=361 Win=65152 Len=0 TSval=2015016480 TSecr=3857198740"
"22","9.031913872","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=361 Ack=1 Win=64256 Len=40 TSval=3857199744 TSecr=2015016480"
"23","9.031945455","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=401 Win=65152 Len=0 TSval=2015017484 TSecr=3857199744"
"24","10.035865521","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=401 Ack=1 Win=64256 Len=40 TSval=3857200748 TSecr=2015017484"
"25","10.035903562","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=441 Win=65152 Len=0 TSval=2015018488 TSecr=3857200748"
